Voxel size,Grid,FOV,Inslice Accel,Multislice Accel,Partial Fourier,Slices,Number of Echos,TR,E1,E2,E3,E4,E5,E6,E7,E8,Scanned (vs just saved)
3x3x3,72x72,216,1,1,6/8ths,32,1,1670,28,,,,,,,,
3x3x3,72x72,216,1,1,6/8ths,32,3,3219,22.4,49.44,76.48,,,,,,
3x3x3,72x72,216,1,1,6/8ths,32,4,4084,22.4,49.44,76.48,103.52,,,,,
3x3x3,72x72,216,1,1,6/8ths,32,5,4949,22.4,49.44,76.48,103.52,130.56,,,,
3x3x3,72x72,216,1,1,6/8ths,32,8,7545,22.4,49.44,76.48,103.52,130.56,157.6,184.64,211.68,Y
3x3x3,72x72,216,1,1,6/8ths,42,1,2190,28,,,,,,,,
3x3x3,72x72,216,1,1,6/8ths,42,3,4220,22.4,49.44,76.48,,,,,,
3x3x3,72x72,216,1,1,6/8ths,42,4,5360,22.4,49.44,76.48,103.52,,,,,
3x3x3,72x72,216,1,1,6/8ths,42,5,6490,22.4,49.44,76.48,103.52,130.56,,,,
3x3x3,72x72,216,1,1,6/8ths,42,8,11310,22.4,49.44,76.48,103.52,130.56,157.6,184.64,211.68,
3x3x3,72x72,216,1,2,6/8ths,32,1,844,28,,,,,,,,
3x3x3,72x72,216,1,2,6/8ths,32,3,1620,22.4,49.44,76.48,,,,,,
3x3x3,72x72,216,1,2,6/8ths,32,4,2052,22.4,49.44,76.48,103.52,,,,,
3x3x3,72x72,216,1,2,6/8ths,32,5,2485,22.4,49.44,76.48,103.52,130.56,,,,
3x3x3,72x72,216,1,2,6/8ths,32,8,3783,22.4,49.44,76.48,103.52,130.56,157.6,184.64,211.68,Y
3x3x3,72x72,216,1,2,6/8ths,42,1,1110,28,,,,,,,,
3x3x3,72x72,216,1,2,6/8ths,42,3,2129,22.4,49.44,76.48,,,,,,
3x3x3,72x72,216,1,2,6/8ths,42,4,2690,22.4,49.44,76.48,103.52,,,,,
3x3x3,72x72,216,1,2,6/8ths,42,5,3260,22.4,49.44,76.48,103.52,130.56,,,,
3x3x3,72x72,216,1,2,6/8ths,42,8,4960,22.4,49.44,76.48,103.52,130.56,157.6,184.64,211.68,
3x3x3,72x72,216,1,3,6/8ths,33,1,591,28,,,,,,,,
3x3x3,72x72,216,1,3,6/8ths,33,3,1157,23.2,51.34,79.48,,,,,,
3x3x3,72x72,216,1,3,6/8ths,33,4,1466,23.2,51.34,79.48,107.62,,,,,
3x3x3,72x72,216,1,3,6/8ths,33,5,1776,23.2,51.34,79.48,107.62,135.76,,,,
3x3x3,72x72,216,1,3,6/8ths,33,8,2710,23.2,51.34,79.48,107.62,135.76,163.9,192.04,220.18,Y
3x3x3,72x72,216,1,3,6/8ths,42,1,741,28,,,,,,,,
3x3x3,72x72,216,1,3,6/8ths,42,3,1440,23.2,50.24,77.28,,,,,,
3x3x3,72x72,216,1,3,6/8ths,42,4,1810,23.2,50.24,77.28,104.32,,,,,
3x3x3,72x72,216,1,3,6/8ths,42,5,2190,23.2,50.24,77.28,104.32,131.36,,,,
3x3x3,72x72,216,1,3,6/8ths,42,8,3330,23.2,50.24,77.28,104.32,131.36,158.4,185.44,212.48,
3x3x3,72x72,216,1,4,6/8ths,32,1,435,28,,,,,,,,
3x3x3,72x72,216,1,4,6/8ths,32,3,847,23.2,51.34,79.48,,,,,,
3x3x3,72x72,216,1,4,6/8ths,32,4,1072,23.2,51.34,79.48,107.62,,,,,
3x3x3,72x72,216,1,4,6/8ths,32,5,1297,23.2,51.34,79.48,107.62,135.76,,,,
3x3x3,72x72,216,1,4,6/8ths,32,8,1973,23.2,51.34,79.48,107.62,135.76,163.9,192.04,220.18,Y
3x3x3,72x72,216,1,4,6/8ths,44,1,591,28,,,,,,,,
3x3x3,72x72,216,1,4,6/8ths,44,3,1160,23.2,51.34,79.48,,,,,,
3x3x3,72x72,216,1,4,6/8ths,44,4,1470,23.2,51.34,79.48,107.62,,,,,
3x3x3,72x72,216,1,4,6/8ths,44,5,1780,23.2,51.34,79.48,107.62,135.76,,,,
3x3x3,72x72,216,1,4,6/8ths,44,8,2710,23.2,51.34,79.48,107.62,135.76,163.9,192.04,220.18,
3x3x3,72x72,216,1,1,off,32,1,1950,28,,,,,,,,
3x3x3,72x72,216,1,1,off,32,3,4069,22.4,58.31,94.22,,,,,,
3x3x3,72x72,216,1,1,off,32,4,5218,22.4,58.31,94.22,130.13,,,,,
3x3x3,72x72,216,1,1,off,32,5,6367,22.4,58.31,94.22,130.13,166.04,,,,
3x3x3,72x72,216,1,1,off,32,8,9814,22.4,58.31,94.22,130.13,166.04,201.95,237.86,273.77,Y
3x3x3,72x72,216,1,1,off,42,1,2560,28,,,,,,,,
3x3x3,72x72,216,1,1,off,42,3,5340,22.4,58.31,94.22,,,,,,
3x3x3,72x72,216,1,1,off,42,4,6850,22.4,58.31,94.22,130.13,,,,,
3x3x3,72x72,216,1,1,off,42,5,8350,22.4,58.31,94.22,130.13,166.04,,,,
3x3x3,72x72,216,1,1,off,42,8,12880,22.4,58.31,94.22,130.13,166.04,201.95,237.86,273.77,
3x3x3,72x72,216,1,2,off,32,1,985,28,,,,,,,,
3x3x3,72x72,216,1,2,off,32,3,2045,22.4,58.31,94.22,,,,,,
3x3x3,72x72,216,1,2,off,32,4,2619,22.4,58.31,94.22,130.13,,,,,
3x3x3,72x72,216,1,2,off,32,5,3194,22.4,58.31,94.22,130.13,166.04,,,,
3x3x3,72x72,216,1,2,off,32,8,4917,22.4,58.31,94.22,130.13,166.04,201.95,237.86,,
3x3x3,72x72,216,1,2,off,42,1,1290,28,,,,,,,,
3x3x3,72x72,216,1,2,off,42,3,2680,22.4,58.31,94.22,,,,,,
3x3x3,72x72,216,1,2,off,42,4,3440,22.4,58.31,94.22,130.13,,,,,
3x3x3,72x72,216,1,2,off,42,5,4190,22.4,58.31,94.22,130.13,166.04,,,,
3x3x3,72x72,216,1,2,off,42,8,6450,22.4,58.31,94.22,130.13,166.04,201.95,237.86,,
3x3x3,72x72,216,1,3,off,33,1,692,28,,,,,,,,
3x3x3,72x72,216,1,3,off,33,3,1461,23.3,60.57,97.94,,,,,,
3x3x3,72x72,216,1,3,off,33,4,1872,23.3,60.57,97.94,135.31,,,,,
3x3x3,72x72,216,1,3,off,33,5,2283,23.3,60.57,97.94,135.31,172.68,,,,
3x3x3,72x72,216,1,3,off,33,8,3516,23.3,60.57,97.94,135.31,172.68,210.05,247.42,284.79,
3x3x3,72x72,216,1,3,off,42,1,865,28,,,,,,,,
3x3x3,72x72,216,1,3,off,42,3,1792,22.4,58.31,94.22,,,,,,
3x3x3,72x72,216,1,3,off,42,4,2294,22.4,58.31,94.22,130.13,,,,,
3x3x3,72x72,216,1,3,off,42,5,2797,22.4,58.31,94.22,130.13,166.04,,,,
3x3x3,72x72,216,1,3,off,42,8,4320,22.4,58.31,94.22,130.13,166.04,201.95,237.86,273.77,
3x3x3,72x72,216,1,4,off,32,1,509,28,,,,,,,,
3x3x3,72x72,216,1,4,off,32,3,1068,23.3,60.57,97.94,,,,,,
3x3x3,72x72,216,1,4,off,32,4,1367,23.3,60.57,97.94,135.31,,,,,
3x3x3,72x72,216,1,4,off,32,5,1666,23.3,60.57,97.94,135.31,172.68,,,,
3x3x3,72x72,216,1,4,off,32,8,2563,23.3,60.57,97.94,135.31,172.68,210.05,247.42,284.79,Y
3x3x3,72x72,216,1,4,off,44,1,692,28,,,,,,,,
3x3x3,72x72,216,1,4,off,44,3,1470,23.3,60.57,97.94,,,,,,
3x3x3,72x72,216,1,4,off,44,4,1880,23.3,60.57,97.94,135.31,,,,,
3x3x3,72x72,216,1,4,off,44,5,2283,23.3,60.57,97.94,135.31,172.68,,,,
3x3x3,72x72,216,1,4,off,44,8,3516,23.3,60.57,97.94,135.31,172.68,210.05,247.42,284.79,
3x3x3,72x72,216,2,1,off,32,1,1683,28,,,,,,,,
3x3x3,72x72,216,2,1,off,32,3,2372,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,1,off,32,4,2956,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,1,off,32,5,3541,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,1,off,32,8,5293,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,Y
3x3x3,72x72,216,2,1,off,42,1,2110,28,,,,,,,,
3x3x3,72x72,216,2,1,off,42,3,3110,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,1,off,42,4,3880,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,1,off,42,5,4650,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,1,off,42,8,6950,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,
3x3x3,72x72,216,2,2,off,32,1,852,28,,,,,,,,
3x3x3,72x72,216,2,2,off,32,3,1196,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,2,off,32,4,1488,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,2,off,32,5,1781,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,2,off,32,8,2657,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,
3x3x3,72x72,216,2,2,off,42,1,1120,28,,,,,,,,
3x3x3,72x72,216,2,2,off,42,3,1570,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,2,off,42,4,1950,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,2,off,42,5,2340,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,2,off,42,8,3490,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,
3x3x3,72x72,216,2,3,off,33,1,592,28,,,,,,,,
3x3x3,72x72,216,2,3,off,33,3,829,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,3,off,33,4,1030,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,3,off,33,5,1231,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,3,off,33,8,1833,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,Y
3x3x3,72x72,216,2,3,off,42,1,748,28,,,,,,,,
3x3x3,72x72,216,2,3,off,42,3,1050,13,31.26,49.52,,,,,,
3x3x3,72x72,216,2,3,off,42,4,1310,13,31.26,49.52,67.78,,,,,
3x3x3,72x72,216,2,3,off,42,5,1570,13,31.26,49.52,67.78,86.04,,,,
3x3x3,72x72,216,2,3,off,42,8,2330,13,31.26,49.52,67.78,86.04,104.3,122.56,140.82,
3x3x3,72x72,216,2,4,off,32,1,439,28,,,,,,,,
3x3x3,72x72,216,2,4,off,32,3,626,13.4,32.4,51.4,,,,,,
3x3x3,72x72,216,2,4,off,32,4,778,13.4,32.4,51.4,70.4,,,,,
3x3x3,72x72,216,2,4,off,32,5,930,13.4,32.4,51.4,70.4,89.4,,,,
3x3x3,72x72,216,2,4,off,32,8,1386,13.4,32.4,51.4,70.4,89.4,108.4,127.4,146.4,Y
3x3x3,72x72,216,2,4,off,44,1,592,28,,,,,,,,
